PV plant,Center (Cliente),State,Cluster,ID client,ID subclient,ID plant,RPU,End installation date,Days after installation,Commercial operation date,COD Status,Actual 2025,Actual Jan '25 (kWh),Actual Feb '25 (kWh),Actual Mar '25 (kWh),Actual Apr '25 (kWh),Actual May '25 (kWh),Actual Jun '25 (kWh),Actual Jul '25 (kWh),Actual Aug '25 (kWh),Actual Sep '25 (kWh),Actual Oct '25 (kWh),Actual Nov '25 (kWh),Actual Dec '25 (kWh)
"AbInveb, San Pablo",AbInveb,Edo. México,"AbInveb, Edo. México",0,0,",",569071201964,00/01/1900,"46,044",01-may-25,Operating,"217,487.4",,,,,"30,685.7","24,155.9","30,181.5","30,898.0","27,116.0","28,146.4","24,885.9","21,418.0"
AFAMSA,Afamsa,Coahuila,"Afamsa, Coahuila",0,0,",",350720206006,00/01/1900,"46,044",01-jul-24,Operating,"199,799.1","13,563.4","17,791.6","22,004.2","25,323.5","24,370.1","23,474.0","20,564.6","14,367.4","15,940.3","19,830.0","2,570.1",0.0
"Alaflex, Tulancingo",Alaflex,Hidalgo,"Alaflex, Hidalgo",77,1,"77,1",265970501596,29/11/2022,"1,150",07-dic-22,Operating,"741,018.3","48,981.1","57,962.6","71,880.6 ","78,242.2","67,602.3","54,648.9","66,314.8","72,927.2","61,279.1","58,421.7","55,528.3","47,229.4 "
"Alianza, P1 MDM",Alianza,Colima,"Alianza, Colima",91,1,"91,1",186151002150,25/05/2023,973,28-jun-23,Operating,"267,504.8","22,500.0","19,369.0","36,036.0 ","30,930.0","21,081.0","25,601.7","20,974.2","20,973.1","18,401.0","16,559.1","15,106.6","19,973.1"
Arteche,Arteche,Hidalgo,"Arteche, Hidalgo",0,0,0,274090401401,15/02/2024,707,16-may-24,Operating,"385,846.0","24,147.3","26,286.0","36,750.7 ","42,624.7","38,847.2","30,437.5","37,501.4","40,508.4","34,765.2","29,416.0","23,672.8","20,888.8"
ASC Steel Coolin,ASC Steel Coolin,Aguascalientes,"ASC Steel Coolin, Aguascalientes",0,0,0,096130404615,15/03/2024,678,10-may-24,Operating,"753,536.8","44,573.0","51,206.3","68,732.6","66,617.5","76,425.5","65,852.1","73,433.0","71,592.8","65,178.4","62,593.3","55,918.8","51,413.7"
Buehler Edificio 22,Buehler,Chihuahua,"Buehler, Chihuahua",0,0,",",585860201672,00/01/1900,"46,044",16-oct-24,Operating,"797,478.9","43,815.0","53,893.3","77,820.2","83,557.6","85,996.3","77,176.6","80,165.8","79,051.9","60,035.8","66,295.7","51,136.5","38,534.4"
Buehler Edificio 23,Buehler,Chihuahua,"Buehler, Chihuahua",0,0,",",585980100918,00/01/1900,"46,044",28-ene-25,Operating,"615,539.5","9,917.8","42,589.8","60,827.4","65,796.8","74,043.9","66,699.4","68,988.5","48,641.9","51,631.1","54,260.4","41,072.0","31,070.6"
"Cinépolis, Ciudad Acuña",Cinepolis,Coahuila,"Cinepolis, Coahuila",0,0,",",359091201621,00/01/1900,"46,044",00-ene-00,Operating,"231,273.0",,,,,,"42,184.0","38,092.0","43,939.0","33,852.0","30,777.0","22,940.0","19,489.0"
"Cinépolis, Ciudad Victoria (Adelitas)",Cinepolis,Tamaulipas,"Cinepolis, Tamaulipas",0,0,",",955070901631,00/01/1900,"46,044",00-ene-00,Operating,"138,496.6",,,,,,"22,056.7","24,899.8","24,396.1","19,678.0","18,594.4","15,844.4","13,027.2"
"Cinepolis, Durango",Cinepolis,Durango,"Cinepolis, Durango",0,0,",",645190402445,00/01/1900,"46,044",01-nov-24,Operating,"215,351.0","14,245.0","16,017.0","21,322.0 ","16,568.0","20,936.0","22,245.0","21,123.0","20,845.0","17,582.0","18,038.0","14,852.0","11,578.0"
"Cinépolis, Gran Plaza Mazatlan",Cinepolis,Sinaloa,"Cinepolis, Sinaloa",0,0,",",533110702416,00/01/1900,"46,044",00-ene-00,Operating,"371,341.1",,,,,,"59,068.7","65,719.0","62,920.3","54,090.0","51,860.1","43,333.0","34,350.0"
"Cinépolis, Puerto Peñasco ",Cinepolis,Sonora,"Cinepolis, Sonora",0,0,",",024190700573,00/01/1900,"46,044",00-ene-00,Operating,"111,032.6",,,,,,"24,101.0","22,822.0","19,017.0","14,645.0","11,040.0","8,880.3","10,527.3"
Colegio Rogers,Colegio Rogers,Yucatán,"Colegio Rogers, Yucatán",0,0,",",771800200497,00/01/1900,"46,044",15-ene-25,Operating,"352,323.6",,"27,112.2","37,814.3","38,930.5","37,868.9","31,325.5","37,031.7","35,708.8","30,914.7","28,716.2","24,416.6","22,484.2"
"Cotemar, P2 Administración",Cotemar,Campeche,"Cotemar, Campeche",78,5,"78,5",795980106724,04/09/2023,871,04-sep-23,Operating,"166,338.4","11,398.8","12,438.2","15,652.6","15,773.4","16,118.6","14,106.6","16,433.3","15,839.1","13,793.2","12,255.2","11,713.0","10,816.5"
"Cotemar, P3 Almacen Abastecimiento",Cotemar,Campeche,"Cotemar, Campeche",78,3,"78,3",795030300478,21/01/2023,"1,097",01-feb-23,Operating,"344,577.3","22,166.7","24,983.5","31,673.7 ","33,309.2","34,451.7","29,892.1","34,850.3","34,222.6","30,051.8","24,180.5","23,324.0","21,471.2"
"Cotemar, P6 Km 10.5",Cotemar,Campeche,"Cotemar, Campeche",78,6,"78,6",795000260234,04/09/2023,871,06-sep-23,Operating,"528,734.0","52,753.0","59,686.0","75,955.0","71,188.0","60,373.0","65,015.0","83,995.0","57,525.0","2,244.0",0.0,0.0,0.0
CP Manufacturing,CP Manufacturing,Coahuila,"CP Manufacturing, Coahuila",0,0,",",351171000570,00/01/1900,"46,044",05-dic-24,Operating,"825,502.4","48,984.0","54,265.9","72,279.2 ","92,734.4","90,237.4","88,329.1","63,779.6","79,478.0","72,333.0","69,935.0","46,039.2","47,107.6"
Encuentro Tlanepantla,Encuentro Tlanepantla,Edo. México,"Encuentro Tlanepantla, Edo. México",114,1,"114,1",573161212008,10/11/2023,804,12-feb-24,Operating,"315,629.5","22,987.3","23,546.5","30,722.8","34,234.3","29,222.2","22,297.8","28,514.5","29,340.6","25,898.2","26,264.9","22,933.1","19,667.4"
Equimin,Mineros Monclova,Coahuila,"Mineros Monclova, Coahuila",0,0,"0,0",361000702431,17/11/2023,797,17-nov-23,Operating,"679,975.0","45,401.3","50,757.6","65,498.0 ","82,991.1","81,959.8","84,259.3","82,488.5","76,115.4","67,495.0","26,716.4","8,672.2","7,620.4"
Estrada 1,Estrada,Aguascalientes,"Estrada, Aguascalientes",75,1,"75,1",096170502997,25/10/2022,"1,185",25-oct-22,Operating,"339,228.5","22,112.0","27,119.0","37,031.0 ","37,696.0","37,467.0","31,720.0","30,232.1","31,627.6","25,245.0","25,461.5","20,440.7","13,076.6 "
Estrada 2,Estrada,Aguascalientes,"Estrada, Aguascalientes",75,2,"75,2",096070759541,08/11/2022,"1,171",08-nov-22,Operating,"233,468.9","20,217.0","23,742.0","30,386.0 ","28,471.0","30,870.0","26,279.9","29,235.4","5,803.8",581.7,567.2,"18,260.5","19,054.4 "
"Fibrashop, Cibeles 3",Fibrashop,Guanajuato,"Fibrashop, Guanajuato",0,0,",",055160606117,00/01/1900,"46,044",13-sep-24,Operating,"269,254.9","11,597.7","14,616.3","27,929.0","30,162.0","26,643.4","22,677.8","26,834.8","26,608.3","23,278.5","23,237.7","17,864.5","17,804.9"
"Fibrashop, Cibeles 4",Fibrashop,Guanajuato,"Fibrashop, Guanajuato",0,0,",",055150904489,00/01/1900,"46,044",01-sep-24,Operating,"171,089.0","8,557.7","10,752.7","19,523.8","21,361.5","19,500.4","16,173.8","19,191.0","18,848.6","11,738.9","6,729.4","12,176.0","6,535.2"
"Fibrashop, Cibeles 5",Fibrashop,Guanajuato,"Fibrashop, Guanajuato",0,0,",",055160101392,00/01/1900,"46,044",12-sep-24,Operating,"149,549.8","8,881.5","11,275.9","17,695.3","1,284.9",0.0,"12,625.3","19,087.8","19,025.2","16,616.7","16,533.7","13,198.1","13,325.5"
"Fibrashop, City Center",Fibrashop,Edo. México,"Fibrashop, Edo. México",0,0,",",565100819764,00/01/1900,"46,044",07-dic-24,Operating,"303,201.9","18,919.4","16,402.6","28,231.2 ","37,565.2","32,645.3","24,791.2","28,234.6","32,906.6","27,732.3","23,375.9","18,644.3","13,753.4"
"Fibrashop, Mall Sonora ",Fibrashop,Sonora,"Fibrashop, Sonora",0,0,",",520180409436,10/01/2024,743,13-jun-24,Operating,"586,595.3","36,772.5","41,491.4","55,793.0 ","59,961.0","60,020.4","55,754.2","55,724.9","59,516.1","49,674.7","46,673.3","36,137.6","29,076.3"
"Fibrashop, Misiones 1",Fibrashop,Chihuahua,"Fibrashop, Chihuahua",0,0,",",647160505358,00/01/1900,"46,044",09-ago-24,Operating,"684,139.8","34,872.9","12,060.4","58,969.7","73,331.2","85,021.5","76,496.7","75,810.3","75,868.4","62,840.7","56,877.2","40,618.9","31,371.9"
"Fibrashop, Misiones 2",Fibrashop,Chihuahua,"Fibrashop, Chihuahua",0,0,",",647160505340,08/03/2024,685,08-oct-24,Operating,"279,649.8","15,042.6","15,945.0","22,334.7","28,558.5","33,529.8","30,814.2","30,534.9","30,093.0","20,016.8","24,352.8","16,582.8","11,844.8"
"Fibrashop, Puerta Victoria",Fibrashop,Querétaro,"Fibrashop, Querétaro",0,0,",",076181062114,15/12/2023,769,10-may-24,Operating,"610,382.6","30,214.3","39,947.0","78,447.5","65,206.1","79,921.5","58,394.1","72,221.7","71,465.5","23,489.5","18,029.4","24,181.1","48,865.0"
Fundidora DDF,Fundidora DDF,Aguascalientes,"Fundidora DDF, Aguascalientes",0,0,",",096210105864,00/01/1900,"46,044",04-nov-24,Operating,"494,761.6","28,033.6","31,056.0","42,110.7 ","44,214.4","47,037.5","47,936.4","51,633.9","48,604.7","44,969.2","42,561.8","35,555.4","31,048.1"
"GM, Querétaro",General Motors,Querétaro,"General Motors, Querétaro",0,0,",",078100103981,00/01/1900,"46,044",17-dic-24,Operating,"530,010.9","37,045.4","40,783.8","36,214.8 ","52,774.7","49,912.4","40,121.7","49,270.4","50,724.5","46,638.5","46,808.5","41,478.9","38,237.2"
Gran Terraza Coapa,Gran Terraza Coapa,CDMX,"Gran Terraza Coapa, CDMX",0,0,"0,0",984190623882,26/06/2023,941,26-jun-23,Operating,"939,417.2","78,658.0","73,999.0","93,125.5 ","101,157.1","87,208.5","65,985.7","76,038.3","71,641.2","67,280.9","78,930.1","76,937.8","68,455.1"
Hidromex,Hidromex,Edo. México,"Hidromex, Edo. México",0,0,"0,0",568810703420,00/01/1900,"46,044",19-sep-24,Operating,"657,078.3","50,924.8","52,438.2","68,060.3 ","76,539.5","66,892.1","48,975.2","54,689.7","21,953.4","60,948.8","57,295.5","52,591.9","45,769.0"
Hilos Delgados,Hilos Delgados,Hidalgo,"Hilos Delgados, Hidalgo",64,1,"64,1",273170150232,29/08/2021,"1,607",11-oct-21,Operating,"682,421.4","47,137.9","44,427.9","67,422.1 ","70,571.3","63,777.6","48,935.7","66,362.6","68,386.0","58,353.3","55,073.4","49,650.9","42,322.7 "
Hospital La Carlota,Hospital la Carlota,Nuevo León,"Hospital la Carlota, Nuevo León",0,0,",",395750301295,00/01/1900,"46,044",23-may-25,Operating,"475,254.1","10,545.9",0.0,0.0 ,771.3,"48,973.7","60,236.7","65,781.6","78,129.7","61,829.6","61,959.8","46,656.4","40,369.4"
"Hotel Chablé, Etapa 1",Hotel Chablé,Yucatán,"Hotel Chablé, Yucatán",60,1,"60,1",777140906217,28/05/2021,"1,700",21-jul-21,Operating,"649,172.3","47,799.4","54,494.2","72,203.6 ","57,834.2","76,232.7","64,224.2","70,724.3","65,792.7","50,632.3","43,041.0","25,719.0","20,474.7"
"Hotel Chablé, Etapa 2",Hotel Chablé,Yucatán,"Hotel Chablé, Yucatán",60,2,"60,2",777210804051,26/06/2021,"1,671",02-dic-21,Operating,"684,440.2","49,504.0","53,226.7","65,890.8 ","53,340.4","69,958.6","65,731.2","73,263.8","68,711.1","59,505.7","52,630.9","36,256.6","36,420.4"
Huf,Huff,Puebla,"Huff, Puebla",0,0,",",256091202519,00/01/1900,"46,044",06-feb-25,Operating,"931,613.0","57,258.5","71,684.7","95,826.8 ","91,243.1","95,188.0","63,236.4","82,085.4","83,965.3","64,973.1","80,257.8","79,151.4","66,742.5"
Imperquimia,Imperquimia,Edo. México,"Imperquimia, Edo. México",81,1,"81,1",568980703009,15/01/2023,"1,103",01-feb-23,Operating,"691,084.4","66,578.8","68,469.8","87,209.2 ","90,272.9","72,944.7","55,696.6","52,501.4","46,986.7","41,283.8","39,499.2","36,352.3","33,289.1"
Instituto Cumbres,Instituo Cumbres,Quintana Roo,"Instituo Cumbres, Quintana Roo",0,0,",",796241201006,00/01/1900,"46,044",14-feb-25,Operating,"127,624.9",,"4,024.3","9,115.3","6,954.8","14,907.2","10,080.3","15,592.8","15,784.8","13,611.6","14,370.1","11,942.0","11,241.7"
Intermetro,Intermetro,Chihuahua,"Intermetro, Chihuahua",0,0,",",587000303101,00/01/1900,"46,044",11-abr-25,Operating,"616,121.1",,,,,"109,107.4","98,633.2","89,794.0","70,757.0","66,375.7","76,351.2","58,194.7","46,907.9"
Juntas Especiales ,Juntas Especiales,Querétaro,"Juntas Especiales, Querétaro",0,0,",",081160303476,00/01/1900,"46,044",02-sep-24,Operating,"554,434.2","30,386.3","33,615.0","58,328.4","61,083.4","57,738.1","42,802.6","52,348.1","53,123.8","49,413.5","47,581.3","38,691.9","29,321.8"
"Maindsteel, Manufacturas ",Maindsteel,Aguascalientes,"Maindsteel, Aguascalientes",80,2,"80,2",098070557436,04/01/2023,"1,114",24-abr-23,Operating,"624,988.5","45,630.0","49,788.0","64,016.0 ","60,457.0","58,618.0","49,283.0","56,651.8","54,870.0","48,108.0","50,309.0","45,243.3","42,014.4"
"Maindsteel, Tubos 2",Maindsteel,Aguascalientes,"Maindsteel, Aguascalientes",80,1,"80,1",098120109758,04/01/2023,"1,114",24-abr-23,Operating,"356,072.7","26,909.0","29,046.0","37,450.0 ","33,510.0","33,067.0","23,079.3","31,590.5","32,398.9","28,958.0","29,452.0","26,055.6","24,556.4"
"Merco, Cavazos",Merco,Nuevo León,"Merco, Nuevo León",0,0,",",411230800758,00/01/1900,"46,044",01-sep-24,Operating,"424,985.0","22,387.5","25,274.8","38,355.4","38,251.2","40,711.3","44,003.5","42,887.4","47,455.7","37,730.3","36,081.7","25,774.2","26,072.0"
"Merco, CEDIS",Merco,Nuevo León,"Merco, Nuevo León",0,0,",",415150700090,31/10/2023,814,11-may-24,Operating,"649,514.9","28,926.8","37,132.4","63,743.3","61,412.6","54,973.6","62,395.6","56,343.1","81,693.2","66,610.6","58,354.5","36,333.2","41,596.1"
"Merco, El Jaral",Merco,Nuevo León,"Merco, Nuevo León",0,0,",",037224030821,00/01/1900,"46,044",24-oct-24,Operating,"419,236.0","21,225.0","24,845.1","37,113.4","39,703.5","43,024.5","43,199.5","42,219.3","46,917.4","37,885.0","35,997.8","24,429.9","22,675.5"
"Merco, El Mirador",Merco,Nuevo León,"Merco, Nuevo León",0,0,",",400240305613,00/01/1900,"46,044",09-oct-24,Operating,"451,188.9","25,050.6","26,921.0","41,208.7","42,498.9","39,748.5","46,654.0","47,311.6","48,434.5","40,174.8","37,733.9","27,298.3","28,154.0"
"Merco, Lindavista",Merco,Nuevo León,"Merco, Nuevo León",50,2,"50,2",374200500552,03/03/2022,"1,421",01-feb-23,Operating,"838,361.6","47,635.5","51,068.8","79,016.9 ","79,143.4","67,232.0","86,851.4","85,357.3","91,819.1","74,576.2","71,290.4","53,466.3","50,904.5"
"Merco, Pilares",Merco,Nuevo León,"Merco, Nuevo León",50,3,"50,3",414220602639,24/08/2022,"1,247",01-mar-23,Operating,"394,830.9","19,484.1","19,126.6","30,090.1 ","40,521.6","39,962.1","44,443.9","42,056.7","40,471.6","37,398.8","34,972.3","24,184.5","22,118.5"
"Merco, Pueblo Nuevo",Merco,Nuevo León,"Merco, Nuevo León",0,0,",",420240801310,20/12/2023,764,01-mar-25,Operating,"381,081.0",,,"33,484.2 ","38,437.8","40,602.7","47,810.3","46,140.4","48,781.5","40,829.9","35,747.2","24,678.4","24,568.6"
"Merco, Santa Catarina",Merco,Nuevo León,"Merco, Nuevo León",0,0,",",888210306553,00/01/1900,"46,044",13-sep-24,Operating,"540,681.3","24,846.6","25,830.9","41,579.1","40,672.0","59,782.6","65,373.0","61,522.9","62,440.0","52,440.2","45,728.8","32,996.3","27,469.0"
"Merco, Sta Elena",Merco,Nuevo León,"Merco, Nuevo León",0,0,",",371221207155,08/09/2023,867,12-jun-24,Operating,"398,547.9","19,940.4","25,181.2","36,853.6","37,671.3","44,415.7","48,388.4","47,875.5","48,780.2","39,484.3","37,367.4","12,589.9",0.0
Minera Frisco,Minera Frisco,Zacatecas,"Minera Frisco, Zacatecas",67,1,"67,1",123211101614,28/02/2022,"1,424",15-mar-22,Operating,"686,204.5","41,508.2","51,268.6","70,071.0 ","71,037.2","69,192.6","64,800.2","61,240.9","60,788.5","48,481.9","57,252.3","49,211.1","41,352.0 "
