PV plant,Center (Cliente),State,Cluster,ID client,ID subclient,ID plant,RPU,End installation date,Days after installation,Commercial operation date,COD Status,Actual 2025,Actual Jan '25 (kWh),Actual Feb '25 (kWh),Actual Mar '25 (kWh),Actual Apr '25 (kWh),Actual May '25 (kWh),Actual Jun '25 (kWh),Actual Jul '25 (kWh),Actual Aug '25 (kWh),Actual Sep '25 (kWh),Actual Oct '25 (kWh),Actual Nov '25 (kWh),Actual Dec '25 (kWh)
Modern Academy Cancún,Modern Academy Cancún,Quintana Roo,"Modern Academy Cancún, Quintana Roo",69,1,"69,1",780190202840,27/01/2022,"1,456",04-ene-23,Operating,"332,130.0","23,867.5","33,578.5","41,074.3 ","21,432.2",0.0,0.0,"40,291.0","46,143.0","33,630.6","33,950.6","28,192.0","29,970.3"
Molding,Molding,Nuevo León,"Molding, Nuevo León",0,0,"0,0",417110800779,27/11/2021,"1,517",17-oct-22,Operating,"252,347.5","14,074.9","16,245.4","24,056.3 ","23,890.7","21,492.8","25,284.4","24,886.1","26,079.1","21,940.8","21,750.6","16,372.5","16,274.1"
Muebles Dixy,Muebles Dixy,Hidalgo,"Muebles Dixy, Hidalgo",0,0,"0,0",263860100364,00/01/1900,"46,044",16-ago-24,Operating,"1,029,517.7","86,858.7","72,974.2 ","103,379.7 ","107,748.8","89,949.5","68,122.3","93,415.0","84,737.9","86,511.3","83,298.2","75,283.5","77,238.6 "
"Nicro, Edo Mex",Nicro,Edo. México,"Nicro, Edo. México",0,0,"0,0",7022242000998,24/11/2023,790,24-nov-23,Operating,"364,250.7","24,040.2","28,135.0","37,305.0 ","38,441.9","34,859.5","26,629.2","33,141.8","32,873.0","30,219.8","30,756.7","27,882.5","19,966.1"
"Nicro, Queretaro",Nicro,Querétaro,"Nicro, Querétaro",0,0,"0,0",7022242001151,27/09/2023,848,27-sep-23,Operating,"602,934.8","42,556.7","47,590.0","41,233.3 ","71,596.1","72,869.1","53,177.4","63,112.6","67,983.5","3,677.5","57,242.3","47,398.2","34,498.1"
Novares Victor Hugo,Novares,Chihuahua,"Novares, Chihuahua",112,1,"112,1",580950202501,24/11/2023,790,08-dic-23,Operating,"989,792.6","55,770.2","62,790.4","90,350.8","100,263.7","111,073.0","103,779.7","104,673.2","100,614.9","79,801.3","80,292.9","58,112.6","42,269.9"
"Nuevo Sur, AC1",Nuevo Sur,Nuevo León,"Nuevo Sur, Nuevo León",0,0,",",417150700297,06/12/2024,412,21-mar-25,Operating,"485,798.3","16,958.0","18,957.0","31,465.3 ","42,177.3","48,730.2","56,760.0","56,317.0","58,389.5","45,170.2","45,400.9","34,156.6","31,316.4"
"Nuevo Sur, AC2",Nuevo Sur,Nuevo León,"Nuevo Sur, Nuevo León",0,0,",",417150700301,00/01/1900,"46,044",01-may-25,Operating,"272,125.1",,"11,551.6","23,125.3","24,054.1","28,831.4","32,542.5","32,053.0","33,673.4","25,695.0","25,536.4","18,213.9","16,848.6"
"Oficinas Corona, Aguascalientes",Oficinas Corona,Aguascalientes,"Oficinas Corona, Aguascalientes",8,19,"8,19",096980252059,20/01/2020,"2,194",06-abr-20,Operating,"209,983.0","17,380.0",0.0,"10,560.0 ","12,621.0","13,966.0","22,694.0","24,140.0","23,372.0","21,711.0","23,225.0","21,922.0","18,392.0 "
"Oficinas Fratta, Puebla",Fratta,Puebla,"Fratta, Puebla",76,1,"76,1",257220408218,22/04/2022,"1,371",22-oct-22,Operating,"512,878.6","41,039.8","45,955.7","45,622.4 ","35,278.8","40,786.3","27,252.8","48,020.0","51,197.0","43,761.9","48,174.7","45,308.9","40,480.2 "
"Paseo Monclova, Áreas Comunes",Paseo Monclova,Coahuila,"Paseo Monclova, Coahuila",42,1,"42,1",369200602963,20/02/2020,"2,163",10-mar-20,Operating,"845,372.0","57,459.0","65,783.0 ","79,149.0 ","87,293.0","85,767.0","89,280.0","86,037.0","84,804.0","64,042.0","66,893.0","50,499.0","28,366.0 "
"Paseo Monclova, Cinépolis",Paseo Monclova,Coahuila,"Paseo Monclova, Coahuila",35,1,"35,1",369190303580,11/11/2019,"2,264",26-nov-19,Operating,"355,028.0","18,575.0","23,212.0 ","29,342.0 ","39,414.0","34,806.0","45,633.0","45,092.0","46,762.0","29,105.0","24,193.0","11,826.0","7,068.0 "
"Paseo Monclova, Merco",Paseo Monclova,Coahuila,"Paseo Monclova, Coahuila",50,1,"50,1",369190400241,09/07/2020,"2,023",09-jul-20,Operating,"855,681.3","46,471.2","61,437.2 ","80,890.6 ","84,339.8","80,631.6","93,680.5","91,174.8","89,877.9","73,999.1","70,035.1","47,465.1","35,678.4 "
"Plaza Acaya Mazatlan, Cinépolis",Cinepolis,Sinaloa,"Cinepolis, Sinaloa",0,0,",",533141202110,00/01/1900,"46,044",00-ene-00,Operating,"332,166.5",,,,,,"51,834.0","61,706.9","55,701.7","49,637.0","50,618.3","39,287.7","23,380.9"
"Plaza Carmen Center, Áreas Comunes 1",Plaza Carmen Center,Campeche,"Plaza Carmen Center, Campeche",36,7,"36,7",795160203504,06/01/2020,"2,208",19-mar-20,Operating,"315,203.0","21,561.0","22,996.0 ","29,442.0 ","29,758.0","31,283.0","25,278.0","31,602.0","30,794.0","27,105.0","23,355.0","21,705.0","20,324.0 "
"Plaza La Roca, Áreas Comunes",Plaza La Roca,Quintana Roo,"Plaza La Roca, Quintana Roo",36,4,"36,4",780141204039,01/10/2019,"2,305",26-dic-19,Operating,"162,972.0","11,492.0","14,225.0 ","16,722.0 ","18,695.0","20,031.0","17,822.0",692.0,"12,765.0","11,738.0","14,279.0","12,073.0","12,438.0 "
"Plaza Las Américas, Áreas Comunes 1",Plaza Las Américas,Michoacán,"Plaza Las Américas, Michoacán",35,6,"35,6",169111106333,04/04/2020,"2,119",24-jul-20,Operating,"163,542.0","11,289.0","11,659.0 ","16,805.0 ","15,325.0","12,711.0","13,861.0","16,482.0","16,765.0","14,748.0","13,876.0","11,203.0","8,818.0 "
"Plaza Las Américas, Áreas Comunes 2",Plaza Las Américas,Michoacán,"Plaza Las Américas, Michoacán",35,7,"35,7",169120901928,04/04/2020,"2,119",03-sep-20,Operating,"425,961.0","30,775.0","31,332.0 ","44,590.0 ","39,352.0","30,307.0","32,412.0","43,090.0","44,074.0","38,697.0","36,661.0","29,842.0","24,829.0 "
"Plaza Las Américas, Cinépolis",Plaza Las Américas,Michoacán,"Plaza Las Américas, Michoacán",35,3,"35,3",169120307562,04/04/2020,"2,119",04-abr-20,Operating,"275,904.0","26,090.0","26,648.0 ","38,375.0 ","34,909.0","29,434.0","23,862.0",0.0,"24,071.0","31,555.0","8,757.0","11,103.0","21,100.0 "
Poliuretanos,Poliuretanos,Edo. México,"Poliuretanos, Edo. México",0,0,"0,0",332101002627,22/12/2023,762,15-dic-23,Operating,"397,931.8","40,724.7","34,576.1","48,026.8 ","58,003.0","50,356.6","39,112.8","49,088.0","20,211.5","8,579.0","8,110.9","12,673.8","28,468.6"
Poliuretanos 2,Poliuretanos,Edo. México,"Poliuretanos, Edo. México",0,0,"0,0",336880701175,00/01/1900,"46,044",10-abr-25,Operating,"181,829.4",,,,0.0,"18,001.0","22,157.3","29,011.9","26,275.9","24,467.0","20,797.9","21,437.9","19,680.5 "
"Portal Churubusco, Áreas Comunes",Portal Churubusco,CDMX,"Portal Churubusco, CDMX",35,2,"35,2",968100300570,23/01/2020,"2,191",10-mar-20,Operating,"446,047.0","35,618.0","33,791.0 ","43,721.0 ","47,678.0","40,187.0","29,675.0","38,326.0","38,609.0","34,969.0","37,265.0","34,402.0","31,806.0 "
"Premex, Tizayuca",Premex,Hidalgo,"Premex, Hidalgo",83,1,"83,1",263910900626,30/12/2022,"1,119",17-feb-23,Operating,"212,848.7","17,238.0","17,500.5","21,839.7 ","22,689.9","18,650.0","15,894.8","19,624.3","19,995.8","17,378.9","16,936.3","13,539.6","11,560.9"
Procesos Aledo,Procesos Aledo,Querétaro,"Procesos Aledo, Querétaro",88,1,"88,1",044160903837,29/05/2023,969,01-jun-23,Operating,"294,662.6","17,020.0","22,848.0 ","30,968.0 ","29,251.0","29,678.0","23,970.2","26,761.8","28,372.7","26,810.0","19,559.0","20,354.6","19,069.3"
Productora Agricola 2,Productora Agrícola,Aguascalientes,"Productora Agrícola, Aguascalientes",0,0,",",106220550071,00/01/1900,"46,044",11-dic-24,Operating,"260,489.8","12,447.4","22,473.2","27,835.4","25,774.8","24,823.2","20,034.8","22,115.2","21,667.9","19,954.8","22,393.5","21,395.7","19,573.9"
"Punto Mochis, Áreas Comunes 1",Punto Mochis,Sinaloa,"Punto Mochis, Sinaloa",36,10,"36,10",538090701291,05/05/2020,"2,088",27-may-20,Operating,"518,226.0","31,158.0","37,348.0","44,783.0","42,518.0","40,477.0","64,410.0","65,486.0","57,678.0","42,768.0","41,430.0","30,149.0","20,021.0 "
Rancho Cocoyol,Rancho Cocoyol,Yucatán,"Rancho Cocoyol, Yucatán",0,0,",",803151100193,00/01/1900,"46,044",01-oct-24,Operating,"455,901.4","57,977.6","44,125.6","37,777.5","38,338.0","49,550.6","44,998.4","53,553.6","15,987.0","36,984.4","10,777.2","31,096.8","34,734.7"
Sacred,Sacred,Aguascalientes,"Sacred, Aguascalientes",0,0,",",098020352060,15/04/2024,647,24-may-24,Operating,"479,845.7","31,442.7","31,378.0","38,952.6","39,477.8","25,284.9","51,992.7","56,793.7","54,627.5","47,163.5","40,516.5","29,167.7","33,048.1"
"Schlumberger, Villahermosa",Schlumberger,Tabasco,"Schlumberger, Tabasco",82,1,"82,1",748140891368,28/11/2022,"1,151",01-feb-23,Operating,"951,625.3","59,231.3","58,693.8","90,737.6","98,031.3","97,371.9","76,857.6","100,590.0","96,448.3","78,972.1","71,818.0","62,494.3","60,379.1"
SIG,SIG,Querétaro,"SIG, Querétaro",0,0,"0,0",078220952087,00/01/1900,"46,044",00-ene-00,Operating,"901,724.5","49,570.1","79,288.0","75,982.3 ","99,887.9","89,399.8","74,052.1","92,050.7","91,412.5","75,670.3","67,687.1","57,738.8","48,984.9"
SIMPNA,Simpna,Aguascalientes,"Simpna, Aguascalientes",0,0,0,098231259040,02/12/2023,782,07-may-24,Operating,"265,516.5","15,443.4","19,879.6","23,073.2","28,455.0","27,023.0","23,592.0","25,717.4","24,902.5","22,160.6","20,777.1","18,222.3","16,270.4"
"Sodimac, Arboledas",Sodimac,Edo. México,"Sodimac, Edo. México",0,0,"0,0",569181200572,06/10/2023,839,04-oct-23,Operating,"636,381.6","43,621.5","25,493.0","48,651.9 ","80,939.2","69,443.5","51,198.9","65,228.5","67,128.8","58,186.0","59,184.5","30,879.5","36,426.3"
"Sodimac, Gran Sur",Sodimac,CDMX,"Sodimac, CDMX",0,0,"0,0",968221201081,00/01/1900,"46,044",19-sep-24,Operating,"584,043.5","42,443.1","36,510.9","53,335.3 ","65,098.7","56,308.2","46,108.3","57,376.5","57,688.9","50,737.9","49,128.4","38,791.0","30,516.3"
"Sodimac, Izcalli",Sodimac,Edo. México,"Sodimac, Edo. México",0,0,"0,0",514180700858,20/10/2023,825,20-oct-23,Operating,"709,713.5","52,623.9","53,139.0","68,218.2 ","74,495.5","68,467.3","53,242.1","66,465.9","66,932.3","58,163.8","58,814.5","47,341.2","41,809.8"
"Sodimac, Saltillo",Sodimac,Coahuila,"Sodimac, Coahuila",0,0,"0,0",354230203781,00/01/1900,"46,044",24-sep-24,Operating,"806,564.5","27,910.8","65,055.4","79,756.8 ","96,810.9","75,995.1","76,428.8","79,598.8","76,360.5","76,421.6","69,648.9","46,590.0","35,986.9"
"Sodimac, San Mateo",Sodimac,Edo. México,"Sodimac, Edo. México",0,0,"0,0",571191203442,11/10/2023,834,13-nov-23,Operating,"718,254.2","50,332.6","50,556.0","67,194.9 ","77,536.5","70,403.0","54,465.5","67,899.8","68,387.6","59,097.8","60,178.3","50,749.8","41,452.4"
"Sodimac, Santa Catarina",Sodimac,Nuevo León,"Sodimac, Nuevo León",0,0,"0,0",888220108351,00/01/1900,"46,044",26-may-24,Operating,"777,362.9","39,556.3","38,948.0","45,264.2 ","76,526.4","77,210.7","89,684.2","84,890.3","87,714.4","74,439.7","67,940.2","49,260.9","45,927.6"
"Sodimac, Sendero",Sodimac,Nuevo León,"Sodimac, Nuevo León",0,0,"0,0",377220201666,00/01/1900,"46,044",21-feb-25,Operating,"716,295.6",,"16,513.0","79,022.1","72,329.5","63,714.1","62,908.3","76,620.0","87,817.7","66,574.6","72,940.6","60,835.3","57,020.4"
Solesta,Solesta,Puebla,"Solesta, Puebla",0,0,",",257200702809,12/12/2023,772,16-may-24,Operating,"478,362.9","32,920.3","38,112.8","47,387.2","46,624.8","45,167.7","31,387.0","45,186.0","44,915.5","38,053.0","40,212.2","37,162.3","31,234.2"
"Soriana, Cd Carmen",Soriana,Campeche,"Soriana, Campeche",0,0,"0,0",795080902347,00/01/1900,"46,044",30-oct-24,Operating,"982,384.4","69,764.1","76,632.0","91,697.0 ","75,756.7","55,155.5","93,579.3","108,911.7","106,436.3","91,007.3","78,731.6","70,682.6","64,030.3"
"Soriana, Prado Norte",Soriana,Quintana Roo,"Soriana, Quintana Roo",0,0,"0,0",783221105910,00/01/1900,"46,044",12-mar-24,Operating,"850,767.1","30,456.6","52,555.0","74,359.1 ","86,778.5","100,465.1","87,612.9","93,150.5","88,046.8","64,605.9","66,300.8","52,242.5","54,193.4"
"Soriana, Tapachula",Soriana,Chiapas,"Soriana, Chiapas",0,0,"0,0",708220652435,21/01/2023,"1,097",20-ene-23,Operating,"880,795.7","65,105.7","65,625.6","80,379.6 ","76,978.5","83,049.6","69,480.9","85,762.3","82,943.5","68,565.1","70,143.4","68,119.0","64,642.6"
Spirax Sarco,Spirax,Nuevo León,"Spirax, Nuevo León",115,1,"115,1",999140100070,15/09/2023,860,01-mar-24,Operating,"402,704.0","20,534.4","23,936.9","35,851.6","37,847.4","41,144.3","42,696.2","42,497.3","45,145.4","35,587.5","33,920.0","22,387.7","21,155.3"
Streit,Streit,Guanajuato,"Streit, Guanajuato",0,0,",",067190700795,00/01/1900,"46,044",02-may-24,Operating,"1,109,670.9","84,868.0","84,102.0","105,096.2","105,680.0","108,480.0","78,532.6","100,295.1","96,264.1","90,369.0","90,551.7","83,718.3","81,713.7"
"Thor, Puerto Marina Cancun",Thor Urbana,Quintana Roo,"Thor Urbana, Quintana Roo",86,1,"86,1",784170400209,16/01/2023,"1,102",28-mar-23,Operating,"972,564.8","60,605.1","70,896.7","92,548.8","98,738.2","99,112.6","92,191.4","101,912.4","80,921.0","74,063.5","74,456.2","61,122.3","65,996.8"
"Thor, The Harbor Mérida",Thor Urbana,Yucatán,"Thor Urbana, Yucatán",79,1,"79,1",771180702357,00/01/1900,"46,044",10-ene-23,Operating,"823,692.5","66,022.6","63,467.6","91,873.2 ","75,356.7","92,211.4","68,323.2","70,875.9","58,703.4","44,395.3","62,110.1","66,416.4","63,936.7"
"Thor, The Park SLP",Thor Urbana,San Luis Potosi,"Thor Urbana, San Luis Potosi",105,1,"105,1",929221008111,14/08/2023,892,14-sep-23,Operating,"914,439.2","60,355.9","66,293.7","82,569.0 ","84,770.8","85,511.1","76,007.4","77,859.6","89,700.2","71,611.1","78,723.4 ","77,754.2","63,282.8"
"Thor, Town Square Metepec",Thor Urbana,Edo. México,"Thor Urbana, Edo. México",85,1,"85,1",338180731220,27/01/2023,"1,091",18-mar-23,Operating,"941,798.7","73,738.0","68,099.0","94,965.0 ","98,707.0","80,873.0","63,366.4","82,369.5","78,675.1","77,114.0","79,395.2","77,971.0","66,525.5"
"Trucka, HEP",Trucka,Aguascalientes,"Trucka, Aguascalientes",0,0,",",098200856961,00/01/1900,"46,044",01-jul-25,Operating,"81,999.2",,,,,"8,666.3","5,599.2","13,905.6","12,803.3","11,489.5","11,165.9","9,335.5","9,033.8"
Universidad Montemorelos,Universidad Montemorelos,Nuevo León,"Universidad Montemorelos, Nuevo León",113,1,"113,1",395750301317,15/09/2023,860,19-feb-24,Operating,"593,822.7","33,820.0","39,718.6","62,946.3","47,320.6","59,042.1","55,834.0","58,432.1","55,444.8","49,802.5","54,487.8","41,798.4","35,175.4"
"Valo Biomedia, Lerma",Valo Biomedia,Edo. México,"Valo Biomedia, Edo. México",52,1,"52,1",336120406289,31/08/2020,"1,970",18-sep-20,Operating,"192,788.0","16,676.0","15,230.0","19,432.0","20,408.0","17,637.0","14,107.0","16,519.0","14,330.0","11,628.0","13,375.0","17,808.0","15,638.0 "
"Vía Verde Amalucan, Áreas Comunes",Vía Verde Amalucan,Puebla,"Vía Verde Amalucan, Puebla",46,1,"46,1",219191202742,09/03/2020,"2,145",26-mar-20,Operating,"441,010.8","27,302.6","36,379.2","37,523.0","43,264.0","36,896.0","31,396.0","43,261.0","42,199.0","36,941.0","40,717.0","35,329.0","29,803.0"
Witzenmann,Witzenmann,Guanajuato,"Witzenmann, Guanajuato",0,0,"0,0",066151150544,11/12/2023,773,09-dic-23,Operating,"781,513.0","47,298.9","48,660.0","71,617.5 ","80,061.6","78,894.5","62,603.6","75,002.3","75,913.2","67,545.2","65,607.2","55,557.5","52,751.5"
"Yukón La Hielera, Aguascalientes",Yukón La Hielera,Aguascalientes,"Yukón La Hielera, Aguascalientes",61,1,"61,1",096170400515,18/05/2021,"1,710",21-jul-21,Operating,"245,259.9","17,160.9","18,607.3 ","24,134.7 ","23,927.3","23,698.0","20,731.2","22,789.6","22,043.2","19,505.3","19,676.3","17,547.7","15,438.5"
Ziclart,Ziclart,Hidalgo,"Ziclart, Hidalgo",98,1,"98,1",263780200104,11/09/2023,864,10-nov-23,Operating,"569,810.4","40,305.2","43,339.5","56,029.8 ","58,160.1","55,591.7","41,157.7","50,750.8","51,786.6","46,637.5","45,299.8","42,558.4","38,193.3"
110,,,166,,,,,,,,,,,,,,,,,,,,,
